id,source_name,Other_name,BZcat_name,ra,dec,WISE_mag_2,NVSS_FIRST_flux,z_flag,redshift,nu_flag,nu_peak,flux_peak,Fermi_counterpart,blazar_type,Fermi_gr_slope,Fermi_gr_slope_error,TEV_FOM
800,1WHSP J170238.5+311543,ROXAJ170238.5+311543,5BZBJ1702+3115,255.66058,31.26214,14.1,6.8,3,0.47,1,15.4,-12.3,3FGL J1702.6+3116,0,1.4,0.15,0.1
272,1WHSP J060408.6-481725,2FGLJ0604.2-4817,5BZBJ0604-4817,91.03587,-48.29033,13.2,32.3,3,0.37,1,16.2,-11.1,3FGL J0604.1-4817,0,1.4,0.17,1.58
944,1WHSP J224642.0-520640,1RXSJ224642.0-520638,--,341.67533,-52.11119,13.2,11.5,1,0.098,1,17.6,-11.1,3FGL J2246.7-5205,0,1.4,0.18,1.58
970,1WHSP J232244.0+343613,1RXSJ232243.7+343616,5BZGJ2322+3436,350.68342,34.60383,12.2,95.8,1,0.094,1,16.1,-11.8,3FGL J2322.5+3436,0,1.4,0.2,0.32
360,1WHSP J093037.5+495025,SHBLJ093037.1+49502,5BZBJ0930+4950,142.65654,49.84044,13.5,21.6,1,0.187,1,17.2,-11.2,3FGL J0930.0+4951,0,1.4,0.21,1.26
350,1WHSP J091230.6+155527,1RXSJ091230.8+155531,5BZGJ0912+1555,138.12754,15.92439,12.1,29.6,1,0.212,1,16.9,-11.9,3FGL J0912.7+1556,0,1.4,0.23,0.25
909,1WHSP J213852.7-205347,SHBLJ213852.9-20535,5BZBJ2138-2053,324.71979,-20.89661,14.2,9.9,1,0.29,1,16.7,-11.6,2FGL J2139.1-2054,0,1.4,0.28,0.5
646,1WHSP J141826.3-023333,SDSSJ14184-0233,5BZBJ1418-0233,214.60971,-2.55944,11.0,34.7,3,0.356,1,15.5,-11.0,3FGL J1418.4-0233,3,1.5,0.08,2.0
867,1WHSP J195945.6-472519,2FGLJ1959.9-4727,--,299.94025,-47.422,11.8,23.8,0,0,1,15.4,-11.3,3FGL J1959.8-4725,1,1.5,0.15,1.0
71,1WHSP J012308.6+342048,SHBLJ012308.9+34204,5BZBJ0123+3420,20.78596,34.34681,13.3,45.7,1,0.27,1,18.0,-10.8,3FGL J0122.8+3423,0,1.5,0.15,3.16
893,1WHSP J210421.9-021238,-,--,316.09138,-2.21081,13.3,14.1,0,0,1,15.5,-11.8,3FGL J2104.2-0211,5,1.5,0.21,0.32
378,1WHSP J095805.9-031740,SHBLJ09580-0317,5BZBJ0958-0317,149.52496,-3.2945,14.3,7.6,3,0.6,1,16.4,-12.1,3FGL J0958.3-0318,2,1.5,0.21,0.16
451,1WHSP J111939.5-304720,SHBLJ11196-3047,5BZBJ1119-3047,169.91492,-30.78911,14.6,9.6,1,0.412,1,17.1,-12.1,3FGL J1119.7-3046,2,1.5,0.23,0.16
566,1WHSP J131106.4+003509,1RXSJ131106.4+003511,5BZBJ1311+0035,197.77696,0.58611,13.1,17.8,0,0,1,15.0,-11.9,3FGL J1311.0+0036,0,1.5,0.28,0.25
446,1WHSP J111224.5+175121,1RXSJ111224.2+175131,5BZBJ1112+1751,168.1025,17.85603,13.5,14.4,1,0.42,1,16.9,-11.9,3FGL J1112.6+1749,0,1.5,0.36,0.25
743,1WHSP J155543.0+111124,2E1553.3+1120,5BZBJ1555+1111,238.92937,11.19011,9.6,312.5,3,0.443,1,15.6,-10.4,3FGL J1555.7+1111,0,1.6,0.03,7.94
452,1WHSP J112048.0+421212,SHBLJ112047.5+42121,5BZBJ1120+4212,170.20025,42.2035,12.3,24.2,3,0.35,1,16.5,-11.2,3FGL J1120.8+4212,0,1.6,0.06,1.26
724,1WHSP J154015.9+815505,1ES1544+820,5BZBJ1540+8155,235.06625,81.91822,12.2,70.0,0,0,1,16.2,-11.1,3FGL J1540.1+8155,0,1.6,0.08,1.58
658,1WHSP J142832.6+424020,SHBLJ142832.6+42402,5BZBJ1428+4240,217.13592,42.6725,12.2,58.9,1,0.129,1,18.0,-10.7,3FGL J1428.5+4240,0,1.6,0.09,3.98
243,1WHSP J050657.7-543503,1RXSJ050656.8-543456,5BZBJ0506-5435,76.74083,-54.58442,12.7,18.0,3,0.26,1,16.1,-11.3,3FGL J0506.9-5435,0,1.6,0.09,1.0
387,1WHSP J101015.9-311908,SHBLJ10102-3119,5BZBJ1010-3119,152.56658,-31.31897,12.2,89.5,1,0.14,1,16.8,-11.1,3FGL J1010.2-3120,3,1.6,0.1,1.58
